;n;label;hit;total;percent
610;21;S;30.0;37.0;0.8108108108108109
611;21;T;21.0;33.0;0.6363636363636364
612;21;V;28.0;34.0;0.8235294117647058
613;21;W;23.0;27.0;0.8518518518518519
614;21;X;24.0;31.0;0.7741935483870968
615;21;Z;24.0;25.0;0.96
616;22;1;26.0;31.0;0.8387096774193549
617;22;2;20.0;27.0;0.7407407407407407
618;22;3;25.0;28.0;0.8928571428571429
619;22;4;14.0;29.0;0.4827586206896552
620;22;5;22.0;24.0;0.9166666666666666
621;22;6;17.0;23.0;0.7391304347826086
622;22;7;21.0;28.0;0.75
623;22;8;21.0;28.0;0.75
624;22;9;17.0;22.0;0.7727272727272727
625;22;B;26.0;33.0;0.7878787878787878
626;22;C;27.0;33.0;0.8181818181818182
627;22;D;21.0;28.0;0.75
628;22;F;21.0;26.0;0.8076923076923077
629;22;G;21.0;25.0;0.84
630;22;H;14.0;24.0;0.5833333333333334
